nivel,tienda,mes,area_batch,estado_veterana,n_dias,n_lotes,uds_total,uds_media_lote,p1_min_medio,p2_min_medio,p3_min_medio,p23_min_medio,p4_min_medio,p5_min_medio,p6_min_medio,p7_min_medio,prep_min_medio,total_min_util_medio,p1_ef_min_medio,p2_ef_min_medio,p3_ef_min_medio,p23_ef_min_medio,p4_ef_min_medio,p5_ef_min_medio,p6_ef_min_medio,p7_ef_min_medio,prep_ef_min_medio,total_min_efec_medio,p1_par_min_medio,p2_par_min_medio,p3_par_min_medio,p23_par_min_medio,p4_par_min_medio,p5_par_min_medio,p6_par_min_medio,p7_par_min_medio,prep_par_min_medio,total_min_paradas_medio,p1_pct_medio,p2_pct_medio,p3_pct_medio,p23_pct_medio,p4_pct_medio,p5_pct_medio,p6_pct_medio,p7_pct_medio,prep_pct_medio,p1_ef_pct_medio,p2_ef_pct_medio,p3_ef_pct_medio,p23_ef_pct_medio,p4_ef_pct_medio,p5_ef_pct_medio,p6_ef_pct_medio,p7_ef_pct_medio,prep_ef_pct_medio,p1_par_pct_medio,p2_par_pct_medio,p3_par_pct_medio,p23_par_pct_medio,p4_par_pct_medio,p5_par_pct_medio,p6_par_pct_medio,p7_par_pct_medio,prep_par_pct_medio,prod_total_min_ud_media,prod_efectiva_min_ud_media,uph_total_media,uph_efec_media
tienda_mes,3849,1/4/2026,SECOS,Veterana,24,476,66.068,"138,81","0,713514969665107","8,37","20,51",0,0,"0,530300215112","0,5690570550921833","4,74","28,88","35,43","0,6840257651","8,37","20,48",0,0,"0,530300215112","0,5690570550921833","2,97","28,85","33,61","0,029489204545",0,"0,02776",0,0,0,0,"1,76","0,02776","1,82","0,0202239","0,23596","0,5789346120635808",0,0,"0,014978","0,0161028908097119","0,13380310256824","0,8148923296902134","0,0204515","0,248576","0,60947938",0,0,"0,01576","0,01695","0,08878265544709624","0,858055300185545","0,01441020900601275",0,"0,008352",0,0,0,0,"0,9772374638093504","0,008352","0,2559043195","0,24283","234,92","247,56"
tienda_mes,3849,1/4/2026,REFRIGERADO,Veterana,24,192,19.752,"102,2","0,576647215057319","5,27","12,49",0,0,"0,9143391567460317","2,76","3,25","17,76","25,27","0,576647215057319","5,27","12,38",0,0,"0,9143391567460317","2,76","2,48","17,65","24,38",0,0,"0,1143",0,0,0,0,"0,777550478119","0,1143","0,8918926408179013","0,02252","0,2081328153817071","0,49444815922920743",0,0,"0,03644752899307789","0,1101045595846047","0,1283496699350365","0,7025809746109144","0,0233608537","0,2152179067370434","0,5085955264506129",0,0,"0,037726","0,1137","0,10136310190160018","0,72381",0,0,"0,04724703015365",0,0,0,0,"0,95275","0,04724703015365","0,24860854809868604","0,23954","243,48","252,12"
tienda_mes,3849,1/4/2026,CONGELADO,Veterana,24,150,6.175,"40,99","0,567657950562169","2,16","6,34",0,0,"0,8970815766","1,73","3,61","8,5","15,31","0,567657950562169","2,16","6,34",0,0,"0,83532","1,73","1,9","8,5","13,53",0,0,0,0,0,"0,061763",0,"1,72",0,"1,78","0,03928604331170128","0,1452829071084929","0,4155520365806835",0,0,"0,05841949151019609","0,11631122899036646","0,22515","0,560834944","0,042962343515501905","0,15990423778927704","0,466738240012725",0,0,"0,061939892046248","0,1291","0,1393","0,6266424778020026",0,0,0,0,0,"0,01254",0,"0,9874583533410086",0,"0,3763167633360052","0,3342068472901698","164,27","182,36"
tienda_mes,3849,1/4/2026,FRESCOS,Veterana,24,187,13.728,"73,5","0,61674210537919",0,0,"15,29","1,31","1,01","2,64","4,1","15,29","24,97","0,61674210537919",0,0,"15,19","1,31","1,01","2,64","3,27","15,19","24,04",0,0,0,"0,10214130787037039",0,0,0,"0,8323763007054673","0,10214130787037039","0,93451760857584","0,024951057987726028",0,0,"0,612498510438451","0,051928280450402486","0,04060909395","0,1057015643","0,1643","0,612498510438451","0,02581917094883078",0,0,"0,6319280562256","0,05415","0,042075191914740746","0,1096876570822785","0,13634155429606074","0,6319280562256",0,0,0,"0,13543",0,0,0,"0,86456740164149","0,13543","0,34041093963","0,32783487662400435","176,59","183,48"
tienda_mes,3849,1/4/2026,FYV,Veterana,24,148,11.884,"80,12","0,947987210648148",0,0,"8,87","3,49","1,03","2,75","2,25","8,87","19,34","0,947987210648148",0,0,"8,87","3,49","0,968727340718695","2,75","1,95","8,87","18,98",0,0,0,0,0,"0,05858761574074075",0,"0,30390340277778",0,"0,362491018519","0,049418",0,0,"0,45840458646","0,18039540058844","0,05315728523980828","0,1432","0,1154","0,45840458646","0,050416145705705157",0,0,"0,4664413203594207","0,1837477916048782","0,05145","0,1458","0,102161075813","0,4664413203594207",0,0,0,0,0,"0,25",0,"0,75",0,"0,2422390140012263","0,237915515048879","249,39","253,88"
tienda_mes,3849,1/4/2026,HORNO,Veterana,24,82,1.457,"17,81","0,64496","1,31","1,94",0,0,"0,92244","3,63","1,82","3,25","10,26","0,64496","1,31","1,87",0,0,"0,92244","3,63","0,840313090277778","3,18","9,21",0,0,"0,071116",0,0,0,0,"0,9779633912037037","0,071116","1,05","0,06461968785702131","0,13053153","0,19566209908602228",0,0,"0,091277","0,3706064810190103","0,14730327940603444","0,32619","0,069637099537","0,1412040853342","0,20487237147905804",0,0,"0,09927096438","0,3980011999","0,08701427937301139","0,3460764568",0,0,"0,1429",0,0,0,0,"0,85714","0,1429","0,5898777105504426","0,5266050412811","110,73","118,68"
tienda_mes,3849,1/4/2026,PENDIENTES,Veterana,24,83,691,"7,79","0,3100225132","0,78708840939153","0,77378",0,0,"0,700704451058201","1,84","1,78","1,56","6,19","0,3100225132","0,78708840939153","0,77378",0,0,"0,700704451058201","1,84","1,26","1,56","5,67",0,0,0,0,0,0,0,"0,5241537037037037",0,"0,5241537037037037","0,06207037171709265","0,13613309119914407","0,1306764034070204",0,0,"0,12482891979204223","0,302938063173","0,24335315071151","0,2668094946061644","0,065061149","0,14239860845472","0,1336",0,0,"0,13066157","0,31583081837407073","0,2124016338","0,27604483058606594",0,0,0,0,0,0,0,1,0,"0,9893191894463103","0,86475610863823","83,36","85,53"
tienda_mes,3919,1/4/2026,SECOS,Veterana,25,90,12.336,"137,23","0,603981611","11,17","18,1",0,0,"0,89470488889","0,91199","3,08","29,27","34,76","0,603981611","11,17","18,1",0,0,"0,89470488889","0,91199","2,9","29,27","34,58",0,0,0,0,0,0,0,"0,1816",0,"0,1816","0,017469784303768","0,32026627550657305","0,520879335",0,0,"0,026064281488588033","0,025725697903733","0,089595","0,841145610425431","0,01758827964542062","0,321947314091899","0,523857",0,0,"0,0262702154037533","0,02586300043963","0,08447403400007934","0,845804470511118",0,0,0,0,0,0,0,1,0,"0,2549","0,2533905813115403","237,55","238,84"
tienda_mes,3919,1/4/2026,REFRIGERADO,Veterana,25,45,3.916,"86,72","0,8294360000000001","5,93","9,5",0,0,"0,75290866667","1,77","2,66","15,43","21,45","0,8294360000000001","5,93","9,5",0,0,"0,75290866667","1,77","2,52","15,43","21,31",0,0,0,0,0,0,0,"0,1366",0,"0,1366","0,038546","0,2750942450722778","0,441074898001685",0,0,"0,03537376535089567","0,082631784098975","0,1273","0,7161691430739625","0,0388181320635392","0,2773114017749","0,4450626530894829",0,0,"0,035676","0,08367979063148","0,11945228312069489","0,7223740548644",0,0,0,0,0,0,0,1,0,"0,25435598057747","0,2523902347741079","242,47","244,8"
tienda_mes,3919,1/4/2026,CONGELADO,Veterana,25,29,1.133,"40,26","0,4636","3,21","6,08",0,0,"0,6991100000000001","1,99","2,42","9,29","14,86","0,4636","3,21","6,08",0,0,"0,6991100000000001","1,99","2,42","9,29","14,86",0,0,0,0,0,0,0,0,0,0,"0,0335930603052742","0,2123","0,403245586505704",0,0,"0,05001024782486303","0,1397291170015884","0,161135389074672","0,6155321857936026","0,0335930603052742","0,2123","0,403245586505704",0,0,"0,05001024782486303","0,1397291170015884","0,161135389074672","0,6155321857936026",,,,,,,,,,"0,38478","0,38478","167,95","167,95"
