nivel,tienda,mes,area_batch,estado_veterana,n_dias,n_lotes,uds_total,uds_media_lote,p1_min_medio,p2_min_medio,p3_min_medio,p23_min_medio,p4_min_medio,p5_min_medio,p6_min_medio,p7_min_medio,prep_min_medio,total_min_util_medio,p1_ef_min_medio,p2_ef_min_medio,p3_ef_min_medio,p23_ef_min_medio,p4_ef_min_medio,p5_ef_min_medio,p6_ef_min_medio,p7_ef_min_medio,prep_ef_min_medio,total_min_efec_medio,p1_par_min_medio,p2_par_min_medio,p3_par_min_medio,p23_par_min_medio,p4_par_min_medio,p5_par_min_medio,p6_par_min_medio,p7_par_min_medio,prep_par_min_medio,total_min_paradas_medio,p1_pct_medio,p2_pct_medio,p3_pct_medio,p23_pct_medio,p4_pct_medio,p5_pct_medio,p6_pct_medio,p7_pct_medio,prep_pct_medio,p1_ef_pct_medio,p2_ef_pct_medio,p3_ef_pct_medio,p23_ef_pct_medio,p4_ef_pct_medio,p5_ef_pct_medio,p6_ef_pct_medio,p7_ef_pct_medio,prep_ef_pct_medio,p1_par_pct_medio,p2_par_pct_medio,p3_par_pct_medio,p23_par_pct_medio,p4_par_pct_medio,p5_par_pct_medio,p6_par_pct_medio,p7_par_pct_medio,prep_par_pct_medio,prod_total_min_ud_media,prod_efectiva_min_ud_media,uph_total_media,uph_efec_media,prod_real_oficial,prod_efec_oficial
tienda_mes,2183,1/6/2026,CONGELADO,Veterana,25,128,5.517,"43,36","0,9168","3,23","6,72",0,0,"0,8886","1,8","2,21","9,96","15,77","0,8618","3,23","6,58",0,0,"0,8886","1,8","1,73","9,81","15,1","0,0551",0,"0,1404",0,0,0,0,"0,4828","0,1404","0,6782","0,0575","0,2036","0,4247",0,0,"0,0572","0,1162","0,1407","0,6283","0,0568","0,2124","0,4326",0,0,"0,0597","0,1211","0,1174","0,645","0,0605",0,"0,125",0,0,0,0,"0,8145","0,125","0,3672","0,3516","165,96","172,58",,
tienda_mes,2183,1/6/2026,FRESCOS,Veterana,25,156,11.043,"70,43","1,14",0,0,"15,9","1,28","0,8021","3,55","4,54","15,9","27,21","1,05",0,0,"15,9","1,28","0,8021","3,55","1,8","15,9","24,38","0,0877",0,0,0,0,0,0,"2,74",0,"2,83","0,0424",0,0,"0,5852","0,0471","0,0295","0,131","0,1647","0,5852","0,0433",0,0,"0,6514","0,0525","0,033","0,1459","0,0739","0,6514","0,0289",0,0,0,0,0,0,"0,9711",0,"0,3872","0,3471","155,71","173,57",,
tienda_mes,2183,1/6/2026,FYV,Veterana,25,132,9.604,"73,27","1,61",0,0,"10,28","4,79","1,38","3,67","3,46","10,28","25,2","1,49",0,0,"10,22","4,67","1,34","3,63","1,61","10,22","22,95","0,1253",0,0,"0,0653","0,1261","0,0405","0,0424","1,85","0,0653","2,25","0,065",0,0,"0,4097","0,1901","0,0554","0,1463","0,1336","0,4097","0,0654",0,0,"0,4448","0,2022","0,0585","0,1587","0,0703","0,4448","0,0446",0,0,"0,0125","0,0241","0,0167","0,0147","0,8874","0,0125","0,3481","0,3161","176,24","192,04",,
tienda_mes,2183,1/6/2026,HORNO,Veterana,25,82,1.769,"22,14","0,7577","1,48","1,69",0,0,"0,3005","4,17","0,5006","3,16","8,89","0,4142","1,48","1,69",0,0,"0,3005","4,08","0,4172","3,16","8,37","0,3435",0,0,0,0,0,"0,0931","0,0834",0,"0,52","0,0734","0,1564","0,1977",0,0,"0,0338","0,4842","0,0544","0,3542","0,0483","0,1677","0,2054",0,0,"0,0348","0,4931","0,0507","0,373","0,6",0,0,0,0,0,"0,2","0,2",0,"0,4138","0,39","152,9","159,81",,
tienda_mes,2183,1/6/2026,PENDIENTES,Veterana,20,29,81,"2,61","0,1273","0,1679","0,0736",0,0,"0,3657","0,5639","5,96","0,2415","7,26","0,1273","0,1679","0,0736",0,0,"0,3657","0,5639","0,6478","0,2415","1,95",0,0,0,0,0,0,0,"5,31",0,"5,31","0,0351","0,0433","0,0126",0,0,"0,0981","0,1329","0,678","0,0559","0,0894","0,1165","0,0276",0,0,"0,2468","0,3092","0,2105","0,1441",0,0,0,0,0,0,0,1,0,"4,14","0,9091","49,59","97,14",,
tienda_mes,2749,1/6/2026,GLOBAL,Liebre,25,,94.896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3034","0,2946"
tienda_mes,2749,1/6/2026,SECOS,Veterana,25,366,52.199,"142,48","2,56","9,6","23,12",0,0,"1,24","1,02","2,84","32,72","40,38","2,46","9,52","22,89",0,0,"1,15",1,"2,15","32,41","39,17","0,0992","0,0767","0,2341",0,0,"0,0955","0,0152","0,6932","0,3108","1,21","0,064","0,2373","0,5725",0,0,"0,0308","0,0251","0,0703","0,8098","0,0634","0,2428","0,5842",0,0,"0,0293","0,0254","0,0548","0,827","0,0958","0,0536","0,1773",0,0,"0,1263","0,011","0,536","0,2309","0,2848","0,2763","212,05","218,57",,
tienda_mes,2749,1/6/2026,REFRIGERADO,Veterana,25,149,14.881,"99,4","1,86","4,44","12,42",0,0,"1,1","2,22","1,39","16,85","23,42","1,69","4,44","12,29",0,0,"1,1","2,22","1,18","16,73","22,91","0,1685",0,"0,1277",0,0,0,0,"0,2083","0,1277","0,5045","0,0793","0,1893","0,5302",0,0,"0,0473","0,0947","0,0592","0,7195","0,0736","0,1936","0,5361",0,0,"0,0484","0,0969","0,0514","0,7297","0,3606",0,"0,2108",0,0,0,0,"0,4286","0,2108","0,2378","0,2326","255,01","260,89",,
tienda_mes,2749,1/6/2026,CONGELADO,Veterana,25,133,6.879,"51,2","2,24","2,62","9,04",0,0,"1,24","1,96","1,84","11,65","18,92","1,95","2,62","8,86",0,0,"1,24","1,96","1,79","11,48","18,41","0,2902",0,"0,1759",0,0,0,0,"0,0537","0,1759","0,5198","0,1177","0,1382","0,478",0,0,"0,0649","0,1028","0,0984","0,6162","0,1062","0,1417","0,4811",0,0,"0,0671","0,1061","0,0978","0,6228","0,4254",0,"0,3746",0,0,0,0,"0,2","0,3746","0,3744","0,3648","162,3","167,3",,
tienda_mes,2749,1/6/2026,FRESCOS,Veterana,25,148,10.433,"70,68","2,55",0,0,"15,42","1,26","0,9976","3,86","2,31","15,42","26,4","2,25",0,0,"15,42","1,26","0,9976","3,86","1,76","15,42","25,54","0,3067",0,0,0,0,0,0,"0,5493",0,"0,856","0,0971",0,0,"0,5844","0,0476","0,0382","0,1462","0,0865","0,5844","0,089",0,0,"0,6024","0,0491","0,0392","0,151","0,0694","0,6024","0,3001",0,0,0,0,0,0,"0,6999",0,"0,3742","0,3618","161,65","166,71",,
