proceso,region,region_cod,zona_cod,zona,centro,centro_nombre,anio,mes,semana,dia,ancla,horario,horario_sin_asignar,real,real_real,ancla_real,horario_real,ancla_realreal,horario_realreal,tiene_realreal
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202629,2026-07-16,18.0,19.5,0.0,11.0,17.74,7,8.5,0.26,1.76,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202629,2026-07-17,18.0,19.5,0.0,17.5,19.29,0.5,2,-1.29,0.21,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202629,2026-07-18,18.0,19.5,0.0,16.0,19.34,2,3.5,-1.34,0.16,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202629,2026-07-19,0.0,0.0,0.0,0.0,0,0,0,0,0,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202630,2026-07-20,18.0,19.5,0.0,14.5,18.52,3.5,5,-0.52,0.98,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202630,2026-07-21,18.0,19.0,0.0,17.0,20.06,1,2,-2.06,-1.06,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202630,2026-07-22,18.0,19.5,0.0,13.5,18.48,4.5,6,-0.48,1.02,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202630,2026-07-23,18.0,21.0,0.0,11.0,16.74,7,10,1.26,4.26,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202630,2026-07-24,18.0,19.5,0.0,16.5,13.36,1.5,3,4.64,6.14,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202630,2026-07-25,18.0,18.5,0.0,14.5,18.38,3.5,4,-0.38,0.12,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202630,2026-07-26,0.0,0.0,0.0,0.0,0,0,0,0,0,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202631,2026-07-27,23.5,27.0,0.0,21.0,26.25,2.5,6,-2.75,0.75,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202631,2026-07-28,23.5,26.5,0.0,21.5,28.85,2,5,-5.35,-2.35,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202631,2026-07-29,23.5,25.0,0.0,15.0,18.56,8.5,10,4.94,6.44,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202631,2026-07-30,23.5,25.0,0.0,19.0,25.57,4.5,6,-2.07,-0.57,1
